Assembly,Order,Family,Genus,Species,Release_Date
GCF_000881955.1,Caudovirales,Podoviridae,Lederbergvirus,Salmonella virus SE1Spa,2015-02-22T18:03:36.500Z
GCF_000881855.1,Caudovirales,Siphoviridae,Triavirus,Staphylococcus virus IPLA35,2015-02-22T18:03:31.633Z
GCF_000881715.1,Caudovirales,Autographiviridae,Berlinvirus,Kluyvera virus Kvp1,2015-02-22T18:03:25.043Z
GCF_000881695.1,Kalamavirales,Tectiviridae,Betatectivirus,Bacillus virus AP50,2015-02-22T18:03:23.430Z
GCF_000881655.1,Caudovirales,Myoviridae,Lubbockvirus,Clostridium virus phiCD27,2015-02-22T18:03:22.210Z
GCF_000881675.1,Caudovirales,Herelleviridae,Okubovirus,Bacillus virus SPO1,2015-02-22T18:03:22.123Z
GCF_000881595.1,Pimascovirales,Ascoviridae,Toursvirus,Diadromus pulchellus toursvirus,2015-02-22T18:03:22.073Z
GCF_000881535.1,Caudovirales,Siphoviridae,Plotvirus,Mycobacterium virus Plot,2015-02-22T18:03:14.417Z
GCF_000881555.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Pacc40,2015-02-22T18:03:14.390Z
GCF_000881515.1,Caudovirales,Myoviridae,Bixzunavirus,Mycobacterium virus Bxz1,2015-02-22T18:03:14.287Z
GCF_000881495.1,Caudovirales,Myoviridae,Bixzunavirus,Mycobacterium virus Bxz1,2015-02-22T18:03:12.920Z
GCF_000881435.1,Caudovirales,Siphoviridae,Cecivirus,Bacillus virus IEBH,2015-02-22T18:03:10.183Z
GCF_000881415.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Kerala virus,2015-02-22T18:03:10.083Z
GCF_000881335.1,Caudovirales,Podoviridae,Baltimorevirus,Sulfitobacter phage EE36phi1,2015-02-22T18:03:06.043Z
GCF_000881295.1,Caudovirales,Autographiviridae,Maculvirus,Vibrio virus VP93,2015-02-22T18:03:03.050Z
GCF_000881275.1,Caudovirales,Myoviridae,Tequatrovirus,Enterobacteria phage RB51,2015-02-22T18:03:00.310Z
GCF_000881195.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Patna virus,2015-02-22T18:02:56.293Z
GCF_000881175.1,Geplafuvirales,Geminiviridae,Begomovirus,Rhynchosia golden mosaic Yucatan virus,2015-02-22T18:02:56.210Z
GCF_000881155.1,Caudovirales,Siphoviridae,Dhillonvirus,Escherichia virus SSL2009a,2015-02-22T18:02:52.260Z
GCF_000881095.1,Geplafuvirales,Geminiviridae,Begomovirus,Pedilanthus leaf curl virus,2015-02-22T18:02:50.953Z
GCF_000881075.1,Geplafuvirales,Geminiviridae,Begomovirus,Bhendi yellow vein Bhubhaneswar virus,2015-02-22T18:02:45.687Z
GCF_000881015.1,Geplafuvirales,Geminiviridae,Begomovirus,Cotton leaf curl Multan virus,2015-02-22T18:02:44.203Z
GCF_000880995.1,Zurhausenvirales,Papillomaviridae,Dyoetapapillomavirus,Dyoetapapillomavirus 1,2015-02-22T18:02:41.600Z
GCF_000880975.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas virus 141,2015-02-22T18:02:41.570Z
GCF_000880955.1,Caudovirales,Siphoviridae,Lwoffvirus,Bacillus virus TP21,2015-02-22T18:02:41.537Z
GCF_000880915.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus IPLA88,2015-02-22T18:02:37.540Z
GCF_000880755.1,Zurhausenvirales,Papillomaviridae,Dyozetapapillomavirus,Dyozetapapillomavirus 1,2015-02-22T18:02:28.053Z
GCF_000880655.1,Caudovirales,Siphoviridae,Triavirus,Staphylococcus phage phi2958PVL,2015-02-22T18:02:22.400Z
GCF_000880595.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Fruitloop,2015-02-22T18:02:18.227Z
GCF_000880575.1,Caudovirales,Siphoviridae,Brujitavirus,Mycobacterium virus Brujita,2015-02-22T18:02:18.187Z
GCF_000880555.1,Caudovirales,Myoviridae,Bixzunavirus,Mycobacterium virus Bxz1,2015-02-22T18:02:16.683Z
GCF_000880535.1,Geplafuvirales,Geminiviridae,Begomovirus,Jatropha leaf curl virus,2015-02-22T18:02:15.270Z
GCF_000880515.1,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,2015-02-22T18:02:12.563Z
GCF_000880495.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Solon,2015-02-22T18:02:12.530Z
GCF_000880415.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas virus LMA2,2015-02-22T18:02:08.410Z
GCF_000880395.1,Priklausovirales,Lavidaviridae,Sputnikvirus,Mimivirus-dependent virus Sputnik,2015-02-22T18:02:07.043Z
GCF_000880375.1,Caudovirales,Autographiviridae,Phikmvvirus,Pseudomonas virus PT2,2015-02-22T18:02:04.320Z
GCF_000880355.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Kumasi virus,2015-02-22T18:02:04.273Z
GCF_000880315.1,Geplafuvirales,Geminiviridae,Mastrevirus,Chickpea chlorotic dwarf virus,2015-02-22T18:02:00.320Z
GCF_000880295.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Boomer,2015-02-22T18:02:00.293Z
GCF_000880275.1,Caudovirales,Podoviridae,Salasvirus,Bacillus virus phi29,2015-02-22T18:01:57.627Z
GCF_000880255.1,Caudovirales,Autographiviridae,Teseptimavirus,Enterobacteria phage 13a,2015-02-22T18:01:56.383Z
GCF_000880215.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Jasper,2015-02-22T18:01:53.640Z
GCF_000880235.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato yellow leaf curl Axarquia virus,2015-02-22T18:01:53.610Z
GCF_000880175.1,Geplafuvirales,Geminiviridae,Begomovirus,Blainvillea yellow spot virus,2015-02-22T18:01:49.547Z
GCF_000880135.1,Geplafuvirales,Geminiviridae,Begomovirus,Wissadula golden mosaic virus,2015-02-22T18:01:46.987Z
GCF_000880075.1,Geplafuvirales,Geminiviridae,Begomovirus,Ageratum yellow vein Hualian virus,2015-02-22T18:01:42.747Z
GCF_000879915.1,Geplafuvirales,Geminiviridae,Begomovirus,Pepper leaf curl Yunnan virus,2015-02-22T18:01:31.990Z
GCF_000879855.1,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 9,2015-02-22T18:01:25.727Z
GCF_000879815.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Cotabato virus,2015-02-22T18:01:24.040Z
GCF_000879795.1,Geplafuvirales,Geminiviridae,Becurtovirus,Beet curly top Iran virus,2015-02-22T18:01:18.880Z
GCF_000879735.1,Caudovirales,Podoviridae,Bruynoghevirus,Pseudomonas virus LUZ24,2015-02-22T18:01:13.707Z
GCF_000879675.1,Caudovirales,Siphoviridae,Kostyavirus,Mycobacterium virus Kostya,2015-02-22T18:01:07.967Z
GCF_000879635.1,Caudovirales,Siphoviridae,Coopervirus,Mycobacterium virus Nigel,2015-02-22T18:01:06.350Z
GCF_000879615.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus Bibb29,2015-02-22T18:01:02.253Z
GCF_000879595.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus KBG,2015-02-22T18:01:02.220Z
GCF_000879555.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato common mosaic virus,2015-02-22T18:00:57.847Z
GCF_000879515.1,Geplafuvirales,Geminiviridae,Begomovirus,Macroptilium golden mosaic virus,2015-02-22T18:00:53.443Z
GCF_000879475.1,Geplafuvirales,Geminiviridae,Begomovirus,Mesta yellow vein mosaic Bahraich virus,2015-02-22T18:00:49.283Z
GCF_000879455.1,Caudovirales,Myoviridae,Mieseafarmvirus,Ralstonia virus RSL1,2015-02-22T18:00:46.230Z
GCF_000879415.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Hsinchu virus,2015-02-22T18:00:42.130Z
GCF_000879195.1,Geplafuvirales,Geminiviridae,Begomovirus,Kenaf leaf curl virus,2015-02-22T18:00:11.763Z
GCF_000879135.1,Caudovirales,Myoviridae,Hapunavirus,Halomonas virus HAP1,2015-02-22T17:59:53.683Z
GCF_000879115.1,Caudovirales,Autographiviridae,Phikmvvirus,Pseudomonas virus LUZ19,2015-02-22T17:59:48.233Z
GCF_000879095.1,Caudovirales,Podoviridae,Kuravirus,Escherichia virus phiEco32,2015-02-22T17:59:44.310Z
GCF_000879075.1,Geplafuvirales,Geminiviridae,Begomovirus,Emilia yellow vein virus,2015-02-22T17:59:38.987Z
GCF_000878975.1,Zurhausenvirales,Papillomaviridae,Chipapillomavirus,Chipapillomavirus 2,2015-02-22T17:59:20.277Z
GCF_000875505.1,Caudovirales,Siphoviridae,Kostyavirus,Mycobacterium virus Porky,2015-02-13T08:40:28.713Z
GCF_000875625.1,Geplafuvirales,Geminiviridae,Begomovirus,Okra mottle virus,2015-02-13T08:40:28.480Z
GCF_000875605.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas virus LBL3,2015-02-13T08:40:26.677Z
GCF_000875485.1,Geplafuvirales,Geminiviridae,Begomovirus,Sweet potato leaf curl Spain virus,2015-02-13T08:40:25.477Z
GCF_000875365.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Palampur virus,2015-02-13T08:40:22.020Z
GCF_000875465.1,Caudovirales,Myoviridae,Vequintavirus,Escherichia virus V5,2015-02-13T08:40:21.630Z
GCF_000875445.1,Caudovirales,Autographiviridae,Kayfunavirus,Escherichia virus EcoDS1,2015-02-13T08:40:19.853Z
GCF_000875425.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Pukovnik,2015-02-13T08:40:18.823Z
GCF_000875405.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium phage DD5,2015-02-13T08:40:18.297Z
GCF_000875245.1,Geplafuvirales,Geminiviridae,Mastrevirus,Oat dwarf virus,2015-02-13T08:40:12.433Z
GCF_000875305.1,Caudovirales,Myoviridae,Phikzvirus,Pseudomonas phage 201phi2-1,2015-02-13T08:40:12.293Z
GCF_000875285.1,Caudovirales,Autographiviridae,Teetrevirus,Salmonella virus SG-JL2,2015-02-13T08:40:12.257Z
GCF_000875165.1,Geplafuvirales,Geminiviridae,Begomovirus,Clerodendron golden mosaic virus,2015-02-13T08:40:04.200Z
GCF_000875005.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Cebu virus,2015-02-13T08:39:54.203Z
GCF_000874965.1,Caudovirales,Siphoviridae,Brussowvirus,Streptococcus virus 858,2015-02-13T08:39:53.073Z
GCF_000874925.1,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 5,2015-02-13T08:39:53.017Z
GCF_000874905.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Ghana virus,2015-02-13T08:39:48.380Z
GCF_000874865.1,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Human polyomavirus 5,2015-02-13T08:39:45.717Z
GCF_000874645.1,Caudovirales,Siphoviridae,Barnyardvirus,Mycobacterium virus Predator,2015-02-13T08:39:42.997Z
GCF_000874785.1,Caudovirales,Myoviridae,Iodovirus,Iodobacter virus PLPE,2015-02-13T08:39:42.957Z
GCF_000874765.1,Zurhausenvirales,Papillomaviridae,Upsilonpapillomavirus,Upsilonpapillomavirus 1,2015-02-13T08:39:42.797Z
GCF_000874685.1,Caudovirales,Siphoviridae,Pipefishvirus,Mycobacterium phage Phaedrus,2015-02-13T08:39:40.773Z
GCF_000874665.1,Zurhausenvirales,Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 5,2015-02-13T08:39:40.737Z
GCF_000874625.1,Caudovirales,Autographiviridae,Berlinvirus,Escherichia virus BA14,2015-02-13T08:39:37.287Z
GCF_000874605.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus lockley,2015-02-13T08:39:31.507Z
GCF_000874545.1,Geplafuvirales,Geminiviridae,Begomovirus,Allamanda leaf curl virus,2015-02-13T08:39:30.070Z
GCF_000874565.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato mild mosaic virus,2015-02-13T08:39:30.030Z
GCF_000874525.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato yellow vein streak virus,2015-02-13T08:39:29.990Z
GCF_000874505.1,Geplafuvirales,Geminiviridae,Begomovirus,Pumpkin yellow mosaic virus,2015-02-13T08:39:29.920Z
GCF_000874465.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiMR25,2015-02-13T08:39:28.260Z
GCF_000874425.1,Geplafuvirales,Geminiviridae,Mastrevirus,Urochloa streak virus,2015-02-13T08:39:26.613Z
GCF_000874405.1,Zurhausenvirales,Papillomaviridae,Omegapapillomavirus,Omegapapillomavirus 1,2015-02-13T08:39:24.680Z
GCF_000874305.1,Caudovirales,Siphoviridae,Casadabanvirus,Pseudomonas virus MP22,2015-02-13T08:39:16.590Z
GCF_000874225.1,Caudovirales,Myoviridae,Krischvirus,Escherichia virus phi1,2015-02-13T08:39:13.010Z
GCF_000874205.1,Caudovirales,Siphoviridae,Chunghsingvirus,Corynebacterium virus P1201,2015-02-13T08:39:12.863Z
GCF_000874065.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato severe rugose virus,2015-02-13T08:39:03.637Z
GCF_000873945.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato yellow leaf curl Vietnam virus,2015-02-13T08:39:02.020Z
GCF_000874045.1,Caudovirales,Siphoviridae,Minunavirus,Microbacterium virus Min1,2015-02-13T08:39:00.457Z
GCF_000873925.1,Geplafuvirales,Geminiviridae,Begomovirus,Lindernia anagallis yellow vein virus,2015-02-13T08:38:57.423Z
GCF_000873905.1,Caudovirales,Myoviridae,Bielevirus,Aeromonas virus phiO18P,2015-02-13T08:38:57.393Z
GCF_000873725.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Saimiri boliviensis polyomavirus 1,2015-02-13T08:38:41.873Z
GCF_000873645.1,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Acidianus filamentous virus 2,2015-02-13T08:38:40.080Z
GCF_000873685.1,Algavirales,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus NY2A,2015-02-13T08:38:40.020Z
GCF_000873625.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus U2,2015-02-13T08:38:36.717Z
GCF_000873445.1,Caudovirales,Myoviridae,Svunavirus,Bacillus virus 1,2015-02-13T08:38:27.630Z
GCF_000873405.1,Geplafuvirales,Geminiviridae,Begomovirus,Corchorus golden mosaic virus,2015-02-13T08:38:26.197Z
GCF_000873385.1,Caudovirales,Myoviridae,Naesvirus,Burkholderia virus BcepNY3,2015-02-13T08:38:18.577Z
GCF_000873245.1,Caudovirales,Siphoviridae,Xipdecavirus,Xanthomonas virus Xop411,2015-02-13T08:38:09.347Z
GCF_000873265.1,Geplafuvirales,Geminiviridae,Begomovirus,Spilanthes yellow vein virus,2015-02-13T08:38:09.267Z
GCF_000873285.1,Geplafuvirales,Geminiviridae,Begomovirus,Erectites yellow mosaic virus,2015-02-13T08:38:09.220Z
GCF_000873225.1,Caudovirales,Autographiviridae,Voetvirus,Synechococcus virus Syn5,2015-02-13T08:38:09.137Z
GCF_000873145.1,Geplafuvirales,Geminiviridae,Begomovirus,Clerodendron yellow mosaic virus,2015-02-13T08:38:07.403Z
GCF_000873125.1,Caudovirales,Myoviridae,Aresaunavirus,Ralstonia virus RSA1,2015-02-13T08:38:02.340Z
GCF_000873085.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Human polyomavirus 3,2015-02-13T08:38:02.307Z
GCF_000873105.1,Caudovirales,Myoviridae,Bcepmuvirus,Burkholderia virus phiE255,2015-02-13T08:37:58.483Z
GCF_000873045.1,Geplafuvirales,Geminiviridae,Begomovirus,Mesta yellow vein mosaic virus,2015-02-13T08:37:55.140Z
GCF_000873005.1,Caudovirales,Myoviridae,Pbunavirus,Burkholderia virus BcepF1,2015-02-13T08:37:55.020Z
GCF_000872825.1,Caudovirales,Demerecviridae,Epseptimavirus,Escherichia virus EPS7,2015-02-13T08:37:48.297Z
GCF_000872625.1,Mulpavirales,Nanoviridae,Babuvirus,Abaca bunchy top virus,2015-02-13T08:37:40.277Z
GCF_000872765.1,Caudovirales,Podoviridae,Traversvirus,Escherichia virus Min27,2015-02-13T08:37:40.237Z
GCF_000872745.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Mindanao virus,2015-02-13T08:37:40.097Z
GCF_000872685.1,Geplafuvirales,Geminiviridae,Mastrevirus,Eragrostis streak virus,2015-02-13T08:37:38.033Z
GCF_000872445.1,Geplafuvirales,Geminiviridae,Begomovirus,Radish leaf curl virus,2015-02-13T08:36:53.960Z
GCF_000872405.1,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 8,2015-02-13T08:36:47.627Z
GCF_000872185.1,Caudovirales,Siphoviridae,Gilesvirus,Mycobacterium virus Giles,2015-02-13T08:36:32.513Z
GCF_000872225.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiMR11,2015-02-13T08:36:32.450Z
GCF_000872245.1,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 7,2015-02-13T08:36:32.413Z
GCF_000872165.1,Rowavirales,Adenoviridae,Atadenovirus,Snake atadenovirus A,2015-02-13T08:36:32.370Z
GCF_000872205.1,Caudovirales,Myoviridae,Dhakavirus,Escherichia virus JS98,2015-02-13T08:36:29.247Z
GCF_000872125.1,Caudovirales,Autographiviridae,Stubburvirus,Pseudomonas virus LKA1,2015-02-13T08:36:25.997Z
GCF_000872105.1,Caudovirales,Herelleviridae,Kochikohdavirus,Enterococcus virus EF24C,2015-02-13T08:36:18.143Z
GCF_000872045.1,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,2015-02-13T08:36:16.640Z
GCF_000872005.1,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus virus SAP2,2015-02-13T08:36:15.030Z
GCF_000871945.1,Caudovirales,Siphoviridae,Oshimavirus,Thermus virus P74-26,2015-02-13T08:36:10.133Z
GCF_000871965.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Tweety,2015-02-13T08:36:10.040Z
GCF_000871805.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Sinaloa virus,2015-02-13T08:36:03.257Z
GCF_000871685.1,Geplafuvirales,Geminiviridae,Begomovirus,Sida yellow vein Vietnam virus,2015-02-13T08:35:55.940Z
GCF_000871705.1,Geplafuvirales,Geminiviridae,Begomovirus,Tobacco leaf curl Thailand virus,2015-02-13T08:35:55.910Z
GCF_000871665.1,Caudovirales,Drexlerviridae,Tlsvirus,Escherichia virus TLS,2015-02-13T08:35:50.680Z
GCF_000871645.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PA6,2015-02-13T08:35:46.327Z
GCF_000871605.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus 80alpha,2015-02-13T08:35:42.177Z
GCF_000871485.1,Pimascovirales,Ascoviridae,Ascovirus,Heliothis virescens ascovirus 3a,2015-02-13T08:35:39.650Z
GCF_000871525.1,Geplafuvirales,Geminiviridae,Begomovirus,Sida yellow vein Madurai virus,2015-02-13T08:35:39.563Z
GCF_000871505.1,Caudovirales,Myoviridae,Tigrvirus,Burkholderia virus phiE122,2015-02-13T08:35:38.197Z
GCF_000871445.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Seychelles virus,2015-02-13T08:35:35.330Z
GCF_000871465.1,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,2015-02-13T08:35:33.853Z
GCF_000871385.1,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 6,2015-02-13T08:35:32.170Z
GCF_000871345.1,Caudovirales,Chaseviridae,Carltongylesvirus,Enterobacteria phage phiEcoM-GJ1,2015-02-13T08:35:30.543Z
GCF_000871365.1,Caudovirales,Siphoviridae,Yuavirus,Pseudomonas virus Yua,2015-02-13T08:35:29.417Z
GCF_000871245.1,Algavirales,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus AR158,2015-02-13T08:35:17.070Z
GCF_000871265.1,Caudovirales,Autographiviridae,Phikmvvirus,Pseudomonas virus LKD16,2015-02-13T08:35:10.403Z
GCF_000871285.1,Ligamenvirales,Rudiviridae,Rudivirus,Acidianus rod-shaped virus 1,2015-02-13T08:35:08.800Z
GCF_000871185.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Bethlehem,2015-02-13T08:35:00.037Z
GCF_000871085.1,Caudovirales,Siphoviridae,Oshimavirus,Thermus virus P23-45,2015-02-13T08:34:53.420Z
GCF_000871125.1,Caudovirales,Herelleviridae,Pecentumvirus,Listeria virus A511,2015-02-13T08:34:52.007Z
GCF_000870965.1,Geplafuvirales,Geminiviridae,Begomovirus,Kudzu mosaic virus,2015-02-13T08:34:43.727Z
GCF_000870825.1,Geplafuvirales,Geminiviridae,Begomovirus,Mimosa yellow leaf curl virus,2015-02-13T08:34:31.647Z
GCF_000870785.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Human polyomavirus 4,2015-02-13T08:34:24.187Z
GCF_000870725.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato mild yellow leaf curl Aragua virus,2015-02-13T08:34:19.790Z
GCF_000870645.1,Caudovirales,Siphoviridae,Jerseyvirus,Salmonella virus SETP3,2015-02-13T08:34:17Z
GCF_000870585.1,Caudovirales,Myoviridae,Tigrvirus,Burkholderia virus phiE202,2015-02-13T08:34:07.690Z
GCF_000870565.1,Caudovirales,Myoviridae,Lubbockvirus,Clostridium virus phiC2,2015-02-13T08:34:02.423Z
GCF_000870405.1,Geplafuvirales,Geminiviridae,Begomovirus,Honeysuckle yellow vein Kagoshima virus,2015-02-13T08:33:49.807Z
GCF_000870365.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus PH15,2015-02-13T08:33:39.500Z
GCF_000870305.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage phiNM3,2015-02-13T08:33:33.340Z
GCF_000870285.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiNM1,2015-02-13T08:33:27.720Z
GCF_000870245.1,Tubulavirales,Inoviridae,Habenivirus,Ralstonia virus RSM1,2015-02-13T08:33:20.910Z
GCF_000870205.1,Cirlivirales,Circoviridae,Circovirus,Gull circovirus,2015-02-13T08:33:18.127Z
GCF_000870165.1,Caudovirales,Myoviridae,Tequatrovirus,Escherichia virus RB32,2015-02-13T08:33:11.187Z
GCF_000870145.1,Caudovirales,Podoviridae,Traversvirus,Stx2-converting phage 86,2015-02-13T08:33:06.500Z
GCF_000870105.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus jj50,2015-02-13T08:33:04.877Z
GCF_000870025.1,Zurhausenvirales,Papillomaviridae,Psipapillomavirus,Psipapillomavirus 1,2015-02-13T08:32:56.897Z
GCF_000869985.1,Chitovirales,Poxviridae,Orthopoxvirus,Taterapox virus,2015-02-13T08:32:52.180Z
GCF_000869925.1,Herpesvirales,Alloherpesviridae,Batrachovirus,Ranid herpesvirus 1,2015-02-13T08:32:48.130Z
GCF_000869885.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus Llij,2015-02-13T08:32:46.643Z
GCF_000869905.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium virus PMC,2015-02-13T08:32:46.613Z
GCF_000869865.1,Caudovirales,Myoviridae,Bixzunavirus,Mycobacterium virus Bxz1,2015-02-13T08:32:45.100Z
GCF_000869845.1,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 6,2015-02-13T08:32:41.177Z
GCF_000869825.1,Caudovirales,Myoviridae,Irtavirus,Pasteurella virus F108,2015-02-13T08:32:37.800Z
GCF_000869785.1,Caudovirales,Autographiviridae,Vectrevirus,Escherichia virus K1-5,2015-02-13T08:32:34.757Z
GCF_000869725.1,Geplafuvirales,Geminiviridae,Begomovirus,Crassocephalum yellow vein virus,2015-02-13T08:32:32.883Z
GCF_000869685.1,Algavirales,Phycodnaviridae,Chlorovirus,Acanthocystis turfacea chlorella virus 1,2015-02-13T08:32:28.067Z
GCF_000869505.1,Zurhausenvirales,Papillomaviridae,Pipapillomavirus,Pipapillomavirus 2,2015-02-13T08:32:10Z
GCF_000869525.1,Cirlivirales,Circoviridae,Circovirus,Finch circovirus,2015-02-13T08:32:08.420Z
GCF_000869465.1,Geplafuvirales,Geminiviridae,Begomovirus,Desmodium leaf distortion virus,2015-02-13T08:31:54.717Z
GCF_000869445.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Guangdong virus,2015-02-13T08:31:49.563Z
GCF_000869425.1,Cirlivirales,Circoviridae,Circovirus,Raven circovirus,2015-02-13T08:31:49.463Z
GCF_000869365.1,Geplafuvirales,Geminiviridae,Begomovirus,Malvastrum leaf curl Guangdong virus,2015-02-13T08:31:41.447Z
GCF_000869345.1,Geplafuvirales,Geminiviridae,Begomovirus,Euphorbia mosaic virus,2015-02-13T08:31:38.730Z
GCF_000869325.1,Zurhausenvirales,Papillomaviridae,Chipapillomavirus,Chipapillomavirus 1,2015-02-13T08:31:35.887Z
GCF_000869245.1,Herpesvirales,Alloherpesviridae,Batrachovirus,Ranid herpesvirus 2,2015-02-13T08:31:25.790Z
GCF_000869285.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato yellow leaf curl Indonesia virus,2015-02-13T08:31:25.630Z
GCF_000869205.1,Caudovirales,Siphoviridae,Pegunavirus,Mycobacterium virus Pg1,2015-02-13T08:31:20.170Z
GCF_000869225.1,Caudovirales,Siphoviridae,Pipefishvirus,Mycobacterium virus Pipefish,2015-02-13T08:31:20.137Z
GCF_000869145.1,Caudovirales,Siphoviridae,Kostyavirus,Mycobacterium virus 244,2015-02-13T08:31:11.350Z
GCF_000869185.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium virus Che12,2015-02-13T08:31:11.327Z
GCF_000869065.1,Chitovirales,Poxviridae,Crocodylidpoxvirus,Nile crocodilepox virus,2015-02-13T08:30:51.057Z
GCF_000868965.1,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,Corvus monedula polyomavirus 1,2015-02-13T08:30:39.493Z
GCF_000868885.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Arusha virus,2015-02-13T08:30:28.383Z
GCF_000868805.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus phiETA3,2015-02-13T08:30:17.773Z
GCF_000868745.1,Caudovirales,Siphoviridae,Phietavirus,Staphylococcus virus CNPH82,2015-02-13T08:30:12.773Z
GCF_000868705.1,Caudovirales,Autographiviridae,Berlinvirus,Yersinia virus Berlin,2015-02-13T08:30:11.223Z
GCF_000868665.1,Tubulavirales,Inoviridae,Restivirus,Ralstonia virus RSS1,2015-02-13T08:30:09.840Z
GCF_000868565.1,Pimascovirales,Ascoviridae,Ascovirus,Trichoplusia ni ascovirus 2c,2015-02-13T08:29:59.413Z
GCF_000868585.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato leaf curl Pune virus,2015-02-13T08:29:59.367Z
GCF_000868505.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato yellow leaf curl Guangdong virus,2015-02-13T08:29:51.370Z
GCF_000868465.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus P008,2015-02-13T08:29:49.660Z
GCF_000868485.1,Caudovirales,Siphoviridae,Skunavirus,Lactococcus virus 712,2015-02-13T08:29:49.613Z
